company_name,total_executions,sandbox_executions,prod_executions,whatsapp_executions,web_executions,completed,failed,first_execution,last_execution,company_id,workflow_count,tested_sandbox,went_to_prod
EPA,143,87,56,143,0,35,0,2025-12-18T21:08:51.255Z,2026-01-19T13:24:15.506Z,2987,5,true,true
Caja Negra,95,87,8,95,0,66,0,2026-01-03T15:24:17.451Z,2026-01-19T04:14:46.355Z,3174,5,true,true
Fernando Alvarado,46,42,4,46,0,16,0,2025-12-26T16:14:21.102Z,2026-01-09T15:55:45.937Z,2856,3,true,true
Telefit 2,40,7,33,40,0,38,0,2026-01-08T23:57:17.867Z,2026-01-14T17:32:27.188Z,3157,1,true,true
Soma,32,24,8,32,0,23,0,2026-01-05T17:59:38.737Z,2026-01-05T21:32:03.457Z,3194,1,true,true
Seidor,30,24,6,30,0,13,0,2026-01-15T19:22:02.751Z,2026-01-15T22:35:13.592Z,3294,1,true,true
Garmin Ecuador,29,18,11,29,0,26,0,2026-01-14T20:53:37.910Z,2026-01-16T14:45:01.342Z,3287,1,true,true
ESPOL-1,20,2,18,20,0,6,0,2026-01-15T04:23:14.606Z,2026-01-15T05:50:47.085Z,3291,2,true,true
AlexanderMaridueña,14,14,0,14,0,6,0,2026-01-15T16:01:03.020Z,2026-01-19T17:49:28.134Z,3292,2,true,false
pisco-org-01,14,14,0,14,0,12,0,2026-01-12T13:35:18.275Z,2026-01-12T20:04:01.582Z,3059,1,true,false
SMBs Test,13,0,13,13,0,13,0,2025-12-30T18:29:45.014Z,2026-01-05T15:51:53.632Z,3169,1,false,true
Garmin,8,7,1,8,0,6,0,2026-01-13T17:09:47.987Z,2026-01-13T17:43:47.870Z,3275,1,true,true
Compañia SMBS 2,7,0,7,7,0,7,0,2025-12-16T18:27:23.920Z,2025-12-17T21:43:32.783Z,3088,1,false,true
IaTransformation,7,0,7,7,0,6,0,2026-01-15T05:18:17.838Z,2026-01-15T05:49:35.011Z,3265,1,false,true
FIBERGO CR,7,3,4,7,0,7,0,2025-12-19T23:18:10.356Z,2025-12-21T18:40:11.285Z,3120,1,true,true
Santa Marina BH,6,2,4,6,0,3,0,2025-12-16T15:43:26.387Z,2025-12-16T16:35:06.032Z,3085,1,true,true
SanbriSolutions,5,5,0,5,0,1,0,2026-01-10T23:19:51.782Z,2026-01-10T23:53:09.164Z,3266,1,true,false
Natta,5,5,0,5,0,2,0,2025-12-15T14:03:25.123Z,2025-12-15T14:52:13.169Z,3061,2,true,false
Dyadent,5,2,3,5,0,5,0,2025-12-24T01:28:07.355Z,2025-12-24T01:35:58.070Z,3140,1,true,true
personal,5,5,0,5,0,4,0,2026-01-06T22:12:45.770Z,2026-01-19T17:39:11.438Z,3051,1,true,false
JesusIndustries,4,4,0,4,0,4,0,2026-01-14T02:18:32.171Z,2026-01-14T03:03:20.790Z,3279,1,true,false
Alvarado y Cía,4,4,0,4,0,1,0,2026-01-07T23:27:08.251Z,2026-01-08T00:05:33.850Z,3229,1,true,false
PepeOrganization,3,3,0,3,0,2,0,2025-12-15T15:37:09.945Z,2025-12-15T15:44:30.736Z,3065,1,true,false
SEIDOR TEST,3,2,1,3,0,2,0,2026-01-15T19:42:58.625Z,2026-01-15T21:16:16.989Z,3297,1,true,true
Vanguardia,3,3,0,3,0,3,0,2026-01-02T11:03:16.970Z,2026-01-02T11:10:25.773Z,3180,1,true,false
OmniLuigi,3,0,3,3,0,3,0,2026-01-13T20:40:58.771Z,2026-01-13T20:46:05.283Z,2855,1,false,true
Soma Ring,2,0,2,2,0,1,0,2026-01-05T17:48:05.584Z,2026-01-05T21:09:36.741Z,2858,1,false,true
WillyWonka,2,2,0,2,0,2,0,2026-01-12T20:54:07.147Z,2026-01-12T20:55:13.514Z,2942,1,true,false
ningunaassss,2,2,0,2,0,2,0,2026-01-06T22:31:59.403Z,2026-01-12T18:16:30.318Z,3211,1,true,false
ACME,2,1,1,2,0,2,0,2026-01-13T16:48:41.939Z,2026-01-13T16:49:08.439Z,3204,1,true,true
Smart Services,2,0,2,2,0,2,0,2025-12-15T13:53:59.644Z,2025-12-15T13:54:31.207Z,2998,1,false,true
Pitahayasoft LLC,1,1,0,1,0,1,0,2026-01-06T01:45:29.831Z,2026-01-06T01:45:29.831Z,3193,1,true,false
UPS,1,1,0,1,0,1,0,2026-01-12T23:16:56.662Z,2026-01-12T23:16:56.662Z,3270,1,true,false
DataWare,1,1,0,1,0,1,0,2025-12-28T12:35:37.028Z,2025-12-28T12:35:37.028Z,3152,1,true,false
restaurante,1,0,1,1,0,1,0,2025-12-23T21:04:31.267Z,2025-12-23T21:04:31.267Z,3135,1,false,true
Empresa Self Service,1,1,0,1,0,1,0,2026-01-11T22:09:37.467Z,2026-01-11T22:09:37.467Z,3260,1,true,false
